code,meaning,description
H200,"Unstable explosive",Explosive
H201,"Explosive; mass explosion hazard",Explosive
H202,"Explosive; severe fragmentation hazard",Explosive
H203,"Explosive; fire blast or projection hazard",Explosive
H204,"Fire or projection hazard",Explosive
H205,"May mass explode in fire",Explosive
H206,"Fire blast or projection hazard; increased risk of explosion if desensitizing agent is reduced",Explosive
H207,"Fire or projection hazard; increased risk of explosion if desensitizing agent is reduced",Explosive
H208,"Fire hazard; increased risk of explosion if desensitizing agent is reduced",Explosive
H220,"Extremely flammable gas",Flammable gas
H221,"Flammable gas",Flammable gas
H222,"Extremely flammable aerosol",Flammable aerosol
H223,"Flammable aerosol",Flammable aerosol
H224,"Extremely flammable liquid and vapour",Flammable liquid
H225,"Highly flammable liquid and vapour",Flammable liquid
H226,"Flammable liquid and vapour",Flammable liquid
H227,"Combustible liquid",Flammable liquid
H228,"Flammable solid",Flammable solid
H229,"Pressurised container: may burst if heated",Pressurised container
H230,"May react explosively even in the absence of air",Flammable gas
H231,"May react explosively even in the absence of air at elevated pressure and/or temperature",Flammable gas
H232,"May ignite spontaneously if exposed to air",Flammable gas
H240,"Heating may cause an explosion",Self-reactive
H241,"Heating may cause a fire or explosion",Self-reactive
H242,"Heating may cause a fire",Self-reactive
H250,"Self-heating; may catch fire",Self-heating
H251,"Self-heating; may catch fire",Self-heating
H252,"Self-heating in large quantities; may catch fire",Self-heating
H260,"In contact with water releases flammable gases which may ignite spontaneously",Water-reactive
H261,"In contact with water releases flammable gases",Water-reactive
H270,"May cause or intensify fire; oxidizer",Oxidizer
H271,"May cause fire or explosion; strong oxidizer",Oxidizer
H272,"May intensify fire; oxidizer",Oxidizer
H280,"Contains gas under pressure; may explode if heated",Pressurised gas
H281,"Contains refrigerated gas; may cause cryogenic burns or injury",Pressurised gas
H290,"May be corrosive to metals",Corrosive
H300,"Fatal if swallowed",Acute toxicity
H301,"Toxic if swallowed",Acute toxicity
H302,"Harmful if swallowed",Acute toxicity
H303,"May be harmful if swallowed",Acute toxicity
H304,"May be fatal if swallowed and enters airways",Aspiration hazard
H305,"May be harmful if swallowed and enters airways",Aspiration hazard
H310,"Fatal in contact with skin",Acute toxicity
H311,"Toxic in contact with skin",Acute toxicity
H312,"Harmful in contact with skin",Acute toxicity
H313,"May be harmful in contact with skin",Acute toxicity
H314,"Causes severe skin burns and eye damage",Corrosive
H315,"Causes skin irritation",Corrosive
H316,"Causes mild skin irritation",Corrosive
H317,"May cause an allergic skin reaction",Sensitization
H318,"Causes serious eye damage",Corrosive
H319,"Causes serious eye irritation",Corrosive
H320,"Causes eye irritation",Corrosive
H330,"Fatal if inhaled",Acute toxicity
H331,"Toxic if inhaled",Acute toxicity
H332,"Harmful if inhaled",Acute toxicity
H333,"May be harmful if inhaled",Acute toxicity
H334,"May cause allergy or asthma symptoms or breathing difficulties if inhaled",Sensitization
H335,"May cause respiratory irritation",Target organ toxicity
H336,"May cause drowsiness or dizziness",Target organ toxicity
H340,"May cause genetic defects",Mutagenicity
H341,"Suspected of causing genetic defects",Mutagenicity
H342,"May cause heritable genetic defects",Mutagenicity
H350,"May cause cancer",Carcinogenicity
H351,"Suspected of causing cancer",Carcinogenicity
H360,"May damage fertility or the unborn child",Reproductive toxicity
H361,"Suspected of damaging fertility or the unborn child",Reproductive toxicity
H362,"May cause harm to breast-fed children",Reproductive toxicity
H370,"Causes damage to organs",Target organ toxicity
H371,"May cause damage to organs",Target organ toxicity
H372,"Causes damage to organs through prolonged or repeated exposure",Target organ toxicity
H373,"May cause damage to organs through prolonged or repeated exposure",Target organ toxicity
H400,"Very toxic to aquatic life",Aquatic toxicity
H401,"Toxic to aquatic life",Aquatic toxicity
H402,"Harmful to aquatic life",Aquatic toxicity
H410,"Very toxic to aquatic life with long lasting effects",Aquatic toxicity
H411,"Toxic to aquatic life with long lasting effects",Aquatic toxicity
H412,"Harmful to aquatic life with long lasting effects",Aquatic toxicity
H413,"May cause long lasting harmful effects to aquatic life",Aquatic toxicity
H420,"Harms public health and the environment by destroying ozone in the upper atmosphere",Ozone depletion
